trial,step,reward, epsilon 
   2315,   35,  33759,  0.021242608180408507
   2316,   35,  33759,  0.021204404923840455
   2317,   39,  41194,  0.02116203743640705
   2318,   37,  37470,  0.02112186673525307
   2319,   42,  46810,  0.021076502371819617
   2320,   36,  35613,  0.021037545914346353
   2321,   35,  34059,  0.02099971144706708
   2322,   30,  24834,  0.020967186294693605
   2323,   35,  33759,  0.020929478363976076
   2324,   36,  36513,  0.020890793656265075
   2325,   46,  54354,  0.020841756706222975
   2326,   38,  39330,  0.02080115386620175
   2327,   56,  73530,  0.020741953498258112
   2328,   37,  38070,  0.020702580218731878
   2329,   34,  32208,  0.020666381481506648
   2330,   50,  62565,  0.020613748029054874
   2331,   38,  39330,  0.02057358938382841
   2332,   52,  67000,  0.02051914018776971
   2333,   39,  40894,  0.020478141894388117
   2334,   37,  37470,  0.020439269393538413
   2335,   76,  121387,  0.020360727532910097
   2336,   36,  36813,  0.0203230940678186
   2337,   37,  38070,  0.020284515885506244
   2338,   33,  30060,  0.02025006064236748
   2339,   38,  39330,  0.02021061051422945
   2340,   61,  85411,  0.02014805307182132
   2341,   38,  39630,  0.0201088016695933
   2342,   40,  43062,  0.020067619822431805
   2343,   38,  39930,  0.020028525116129365
   2344,   38,  39930,  0.019989506572125917
   2345,   55,  72790,  0.019933612844106503
   2346,   33,  30360,  0.019899753644258972
   2347,   37,  37470,  0.019861979065176807
   2348,   38,  39330,  0.019823284977636302
   2349,   39,  41494,  0.019783677038616304
   2350,   34,  31908,  0.019749085015839277
   2351,   38,  39030,  0.019710610862687678
   2352,   37,  38370,  0.019673195322671415
   2353,   35,  33459,  0.019637814538822143
   2354,   58,  79825,  0.019579966906939444
   2355,   36,  35613,  0.019543776549797543
   2356,   30,  25734,  0.019513506404808277
   2357,   33,  31260,  0.01948036079702239
   2358,   34,  31908,  0.019446299126733298
   2359,   38,  40530,  0.01940841484550034
   2360,   38,  37230,  0.0193706043684784
   2361,   33,  30360,  0.019337701493841012
   2362,   36,  35613,  0.01930195892457663
   2363,   75,  119921,  0.01922874883765928
   2364,   58,  77425,  0.019172106201477582
   2365,   35,  33759,  0.01913762658927815
   2366,   38,  39930,  0.019100343648029802
   2367,   35,  34659,  0.019065993095464574
   2368,   34,  31908,  0.01903265595262012
   2369,   33,  30060,  0.019000327116569727
   2370,   39,  41494,  0.018962363489519907
   2371,   33,  30060,  0.018930154052124164
   2372,   37,  37470,  0.01889422000921777
   2373,   29,  23298,  0.01886589921708263
   2374,   39,  42694,  0.018828204183863332
   2375,   36,  35313,  0.018793403336804026
   2376,   36,  35613,  0.018758666813402165
   2377,   39,  40894,  0.018721186036019404
   2378,   37,  38070,  0.01868564866530257
   2379,   36,  37113,  0.018651111308736076
   2380,   37,  38370,  0.018615706956918616
   2381,   36,  35613,  0.018581298876127576
   2382,   37,  37470,  0.0185460270453103
   2383,   38,  38730,  0.01850989662791006
   2384,   34,  32508,  0.018477531827145104
   2385,   50,  62565,  0.01843047297004811
